date,symbol,sector_code,company_name,open,high,low,close,volume,prev_close
2021-01-21,ENGRO-JAN,40,ENGRO-JAN,308.01,312.48,308.01,311.59,22500,309.78
2021-01-21,EPCL,0805,Engro Polymer,47.75,48.9,47.51,47.91,1659500,47.75
2021-01-21,EPCL-CFEB,40,EPCL-CFEB,0.0,0.0,0.0,48.44,0,48.32
2021-01-21,EPCL-CJAN,40,EPCL-CJAN,0.0,0.0,0.0,48.02,0,47.9
2021-01-21,EPCL-CMAR,40,EPCL-CMAR,0.0,0.0,0.0,48.86,0,48.74
2021-01-21,EPCL-JAN,40,EPCL-JAN,48.49,48.85,47.82,48.17,138500,47.99
2021-01-21,EPCLPS,0805,Engro Poly(Pref,11.24,11.24,11.2,11.2,2500,11.24
2021-01-21,EPCLSC,36,Engro Polymer(S,0.0,0.0,0.0,102.15,0,102.15
2021-01-21,EPQL,0824,Engro Powergen,22.05,22.35,22.05,22.15,58000,22.06
2021-01-21,ESBL,0813,Escorts Bank,10.32,10.49,10.32,10.48,8500,10.3
2021-01-21,EXIDE,0802,Exide (PAK),355.34,370.0,355.34,370.0,1600,370.0
2021-01-21,FABL,0807,Faysal Bank,21.2,21.39,20.9,20.9,3910000,21.13
2021-01-21,FANM,0819,AL-Noor Mod,3.26,3.75,3.26,3.59,1500,3.25
2021-01-21,FASM,0829,Faisal Spinning,380.0,380.0,380.0,380.0,600,368.01
2021-01-21,FATIMA,0809,Fatima Fert.,28.51,29.0,28.51,28.77,60500,28.75
2021-01-21,FCCL,0804,Fauji Cement,21.21,21.7,21.21,21.41,2380000,21.26
2021-01-21,FCCL-CFEB,40,FCCL-CFEB,0.0,0.0,0.0,21.65,0,21.51
2021-01-21,FCCL-CJAN,40,FCCL-CJAN,0.0,0.0,0.0,21.46,0,21.33
2021-01-21,FCCL-CMAR,40,FCCL-CMAR,0.0,0.0,0.0,21.83,0,21.7
2021-01-21,FCCL-JAN,40,FCCL-JAN,21.4,21.7,21.35,21.4,428500,21.23
2021-01-21,FCEPL,0810,Frieslandcampina,80.0,87.32,80.0,87.31,3899000,81.23
2021-01-21,FCIBL,0813,F.Credit & Inv,8.5,9.0,8.5,8.9,17500,8.77
2021-01-21,FCSC,0813,Ist.Capital Sec,1.49,1.5,1.4,1.4,722000,1.46
2021-01-21,FDIBL,0813,Ist.Dawood Bank,2.4,2.49,2.3,2.33,210000,2.39
2021-01-21,FECM,0819,Elite Cap.Mod,2.83,3.39,2.83,3.1,32500,3.1
2021-01-21,FECTC,0804,Fecto Cement,34.22,34.93,34.03,34.16,20500,34.28
2021-01-21,FEM,0819,Equity Modaraba,3.48,3.48,3.15,3.34,25000,3.15
2021-01-21,FEROZ,0823,Ferozsons (Lab),329.99,332.5,326.0,327.21,122500,329.94
2021-01-21,FEROZ-JAN,40,FEROZ-JAN,330.51,332.5,327.25,328.05,29500,331.15
2021-01-21,FFBL,0809,Fauji Fert Bin,27.35,27.6,27.1,27.2,4094500,27.35
2021-01-21,FFBL-CFEB,40,FFBL-CFEB,0.0,0.0,0.0,27.5,0,27.68
2021-01-21,FFBL-CMAR,40,FFBL-CMAR,0.0,0.0,0.0,27.74,0,27.92
2021-01-21,FFBL-JAN,40,FFBL-JAN,27.7,27.7,27.15,27.28,2691000,27.41
2021-01-21,FFC,0809,Fauji Fert.,110.5,111.75,110.5,111.38,164607,111.39
