symbol,open,high,low,close,volume,prev_close,date
KEL,4.12,4.42,4.12,4.25,143822500,4.1,2021-01-21
KEL-CFEB,4.3,0.0,0.0,4.3,0,4.15,2021-01-21
KEL-CJAN,4.26,0.0,0.0,4.26,0,4.11,2021-01-21
KEL-CMAR,4.33,0.0,0.0,4.33,0,4.18,2021-01-21
KEL-JAN,4.16,4.42,4.15,4.25,17707,4.13,2021-01-21
KELSC5,101.5,101.5,101.5,101.58,7000,101.65,2021-01-21
KHSM,22.86,22.86,21.27,22.86,54000,21.27,2021-01-21
KHTC,540.75,564.0,500.0,542.81,7000,525.02,2021-01-21
KML,38.0,38.78,37.65,38.3,8000,38.15,2021-01-21
KOHC,207.98,211.75,207.0,210.3,241000,207.99,2021-01-21
KOHE,34.25,34.25,34.0,34.0,16500,34.0,2021-01-21
KOHP,4.05,4.18,4.0,4.1,75500,4.08,2021-01-21
KOHTM,17.0,17.2,17.0,17.2,3500,16.0,2021-01-21
KOIL,8.85,8.9,8.85,8.9,4000,8.99,2021-01-21
KOSM,4.75,5.05,4.65,4.86,3569000,4.7,2021-01-21
KPUS,65.48,65.48,65.48,65.48,2000,60.92,2021-01-21
KSBP,435.0,458.0,435.0,449.67,17400,440.0,2021-01-21
KTML,69.0,74.16,69.0,73.75,2117500,68.99,2021-01-21
LOADS,16.82,18.19,16.82,18.19,2622000,16.93,2021-01-21
LOTCHEM,16.55,16.76,16.21,16.3,6619500,16.49,2021-01-21
LOTCHEM-CFEB,16.48,0.0,0.0,16.48,0,16.69,2021-01-21
LOTCHEM-CJAN,16.34,0.0,0.0,16.34,0,16.54,2021-01-21
LOTCHEM-CMAR,16.62,0.0,0.0,16.62,0,16.83,2021-01-21
LOTCHEM-JAN,16.6,16.83,16.26,16.38,4395,16.54,2021-01-21
LPL,18.1,18.5,18.04,18.38,409000,18.03,2021-01-21
LUCK,686.5,707.0,686.5,699.47,683092,685.08,2021-01-21
LUCK-CFEB,707.15,0.0,0.0,707.15,0,693.25,2021-01-21
LUCK-CJAN,701.01,0.0,0.0,701.01,0,687.23,2021-01-21
LUCK-CMAR,713.29,0.0,0.0,713.29,0,699.28,2021-01-21
LUCK-JAN,690.11,707.0,689.5,701.31,282,687.09,2021-01-21
MACFL,24.6,25.2,23.7,23.98,853500,24.51,2021-01-21
MACTER,163.12,183.0,163.1,183.0,13800,170.31,2021-01-21
MARI,1477.0,1490.0,1436.0,1450.6,33780,1467.88,2021-01-21
MCB,194.9,195.99,193.51,194.7,163975,193.41,2021-01-21
MCB-JAN,195.0,195.01,194.5,194.5,14,194.0,2021-01-21
MCBAH,29.0,29.0,29.0,29.0,10500,29.05,2021-01-21
MDTL,2.11,2.2,2.08,2.18,1084500,2.09,2021-01-21
MEBL,111.5,114.0,111.5,113.33,607659,111.7,2021-01-21
MEBL-CFEB,114.57,0.0,0.0,114.57,0,113.03,2021-01-21
MEBL-CJAN,113.58,0.0,0.0,113.58,0,112.05,2021-01-21
MEBL-CMAR,115.57,0.0,0.0,115.57,0,114.01,2021-01-21
MEBL-JAN,112.0,114.06,111.0,113.94,72,112.2,2021-01-21
MEHT,523.0,523.0,488.0,499.0,300,488.0,2021-01-21
MERIT,15.6,16.0,15.55,15.71,156000,15.5,2021-01-21
MFFL,435.0,452.0,432.01,448.39,16200,438.69,2021-01-21
MFL,26.99,27.38,26.0,26.13,621500,26.99,2021-01-21
MIRKS,103.95,103.95,103.95,103.95,500,99.96,2021-01-21
MLCF,43.2,43.89,43.01,43.3,7944263,42.93,2021-01-21
MLCF-CFEB,43.78,0.0,0.0,43.78,0,43.44,2021-01-21
MLCF-CJAN,43.4,0.0,0.0,43.4,0,43.06,2021-01-21
MLCF-CMAR,44.16,0.0,0.0,44.16,0,43.82,2021-01-21
MLCF-JAN,42.95,43.97,42.95,43.42,6498,42.97,2021-01-21
MODAM,5.6,5.6,4.35,4.8,72500,5.23,2021-01-21
MRNS,56.49,56.49,56.0,56.0,2000,56.0,2021-01-21
MSCL,17.85,17.98,17.79,17.85,3500,17.2,2021-01-21
MSOT,74.0,74.65,74.0,74.64,14500,69.45,2021-01-21
MTIL,12.15,12.7,12.15,12.29,112500,11.92,2021-01-21
MTL,1108.0,1115.0,1100.0,1110.39,47880,1114.14,2021-01-21
MUGHAL,76.85,78.5,76.5,76.69,787500,77.21,2021-01-21
MUGHAL-CFEB,77.53,0.0,0.0,77.53,0,78.13,2021-01-21
MUGHAL-CJAN,76.86,0.0,0.0,76.86,0,77.45,2021-01-21
MUGHAL-CMAR,78.21,0.0,0.0,78.21,0,78.81,2021-01-21
MUGHAL-JAN,76.97,78.5,76.1,77.19,96,77.06,2021-01-21
MUREB,574.0,574.0,567.15,569.47,1200,580.0,2021-01-21
MZNP-ETF,11.01,11.05,11.01,11.05,7500,11.09,2021-01-21
NAGC,62.5,63.75,61.51,62.28,14000,62.51,2021-01-21
NATF,230.79,240.0,229.59,238.24,569600,229.59,2021-01-21
NBP,42.45,42.68,42.2,42.34,401500,42.25,2021-01-21
NBP-CFEB,42.8,0.0,0.0,42.8,0,42.75,2021-01-21
NBP-CJAN,42.43,0.0,0.0,42.43,0,42.38,2021-01-21
NBP-CMAR,43.18,0.0,0.0,43.18,0,43.13,2021-01-21
NBP-JAN,42.51,42.78,42.4,42.44,202,42.41,2021-01-21
NCL,51.45,52.19,50.6,50.88,903500,51.53,2021-01-21
NCL-JAN,50.3,51.45,50.3,50.63,132,51.19,2021-01-21
NCML,3.76,3.99,3.76,3.88,4500,3.85,2021-01-21
NCPL,20.1,20.5,19.93,20.23,401000,19.96,2021-01-21
NETSOL,187.5,189.5,182.5,188.05,6276000,185.33,2021-01-21
NETSOL-JAN,189.01,189.7,183.02,188.4,7024,185.48,2021-01-21
NEXT,9.5,10.0,9.5,10.0,31000,9.7,2021-01-21
NICL,92.0,92.5,91.25,91.52,50500,91.3,2021-01-21
NML,113.65,115.2,113.1,114.11,936500,113.55,2021-01-21
NML-CFEB,115.36,0.0,0.0,115.36,0,114.9,2021-01-21
NML-CJAN,114.36,0.0,0.0,114.36,0,113.91,2021-01-21
NML-CMAR,116.37,0.0,0.0,116.37,0,115.9,2021-01-21
